Replicate,Dish,Colour,part,ch1,ch2
1,I,blue,head,1125,10725
1,I,blue,body,0,0
1,I,green,head,0,3575
1,I,green,body,0,64500
1,I,orange,head,0,2975
1,I,orange,body,0,0
1,I,purple,head,30000,0
1,I,purple,body,14925,0
1,I,red,head,2300,600
1,I,red,body,0,0
1,I,yellow,head,600,5375
1,I,yellow,body,0,225
1,II,blue,head,13375,0
1,II,blue,body,0,0
1,II,green,head,17975,0
1,II,green,body,0,0
1,II,orange,head,16050,0
1,II,orange,body,0,0
1,II,purple,head,17550,0
1,II,purple,body,0,225
1,II,red,head,0,0
1,II,red,body,0,0
1,II,yellow,head,1225,0
1,II,yellow,body,12125,0
1,III,blue,head,700,325
1,III,blue,body,200,0
1,III,green,head,0,0
1,III,green,body,0,0
1,III,orange,head,4675,0
1,III,orange,body,6850,0
1,III,purple,head,0,1875
1,III,purple,body,0,15200
1,III,red,head,275,1225
1,III,red,body,0,0
1,III,yellow,head,0,300
1,III,yellow,body,0,0
1,IV,blue,head,0,1975
1,IV,blue,body,0,0
1,IV,green,head,0,850
1,IV,green,body,0,0
1,IV,orange,head,0,400
1,IV,orange,body,0,225
1,IV,purple,head,0,1775
1,IV,purple,body,0,0
1,IV,red,head,0,8975
1,IV,red,body,0,22925
1,IV,yellow,head,0,250
1,IV,yellow,body,0,0
1,V,blue,head,0,0
1,V,blue,body,0,0
1,V,green,head,0,0
1,V,green,body,0,0
1,V,orange,head,0,0
1,V,orange,body,0,0
1,V,purple,head,0,0
1,V,purple,body,0,0
1,V,red,head,0,0
1,V,red,body,0,0
1,V,yellow,head,0,0
1,V,yellow,body,0,0
1,VI,blue,head,1825,0
1,VI,blue,body,4100,0
1,VI,green,head,0,0
1,VI,green,body,0,0
1,VI,orange,head,0,275
1,VI,orange,body,0,19200
1,VI,purple,head,225,1150
1,VI,purple,body,0,300
1,VI,red,head,225,0
1,VI,red,body,0,0
1,VI,yellow,head,0,0
1,VI,yellow,body,0,0
2,I,blue,head,0,375
2,I,blue,body,0,4250
2,I,green,head,0,0
2,I,green,body,0,0
2,I,orange,head,0,0
2,I,orange,body,0,0
2,I,purple,head,0,0
2,I,purple,body,0,0
2,I,red,head,0,0
2,I,red,body,0,0
2,I,yellow,head,0,650
2,I,yellow,body,0,0
2,II,blue,head,0,3250
2,II,blue,body,0,4350
2,II,green,head,0,0
2,II,green,body,0,0
2,II,orange,head,275,400
2,II,orange,body,0,0
2,II,purple,head,325,2475
2,II,purple,body,0,0
2,II,red,head,2650,0
2,II,red,body,2050,0
2,II,yellow,head,425,0
2,II,yellow,body,0,0
2,III,blue,head,0,0
2,III,blue,body,0,0
2,III,green,head,0,0
2,III,green,body,0,0
2,III,orange,head,0,0
2,III,orange,body,0,0
2,III,purple,head,0,0
2,III,purple,body,0,0
2,III,red,head,0,0
2,III,red,body,0,0
2,III,yellow,head,0,0
2,III,yellow,body,0,0
2,IV,blue,head,475,0
2,IV,blue,body,0,0
2,IV,green,head,375,0
2,IV,green,body,7400,0
2,IV,orange,head,3350,0
2,IV,orange,body,0,0
2,IV,purple,head,2425,0
2,IV,purple,body,175,0
2,IV,red,head,250,0
2,IV,red,body,0,0
2,IV,yellow,head,0,0
2,IV,yellow,body,0,0
2,V,blue,head,975,0
2,V,blue,body,1500,0
2,V,green,head,0,0
2,V,green,body,0,0
2,V,orange,head,2150,350
2,V,orange,body,0,0
2,V,purple,head,1500,425
2,V,purple,body,0,0
2,V,red,head,525,825
2,V,red,body,0,0
2,V,yellow,head,250,1400
2,V,yellow,body,0,18550
2,VI,blue,head,8275,5675
2,VI,blue,body,0,0
2,VI,green,head,0,0
2,VI,green,body,0,0
2,VI,orange,head,2275,5100
2,VI,orange,body,5750,29450
2,VI,purple,head,3650,0
2,VI,purple,body,21475,0
2,VI,red,head,1000,450
2,VI,red,body,0,0
2,VI,yellow,head,300,2725
2,VI,yellow,body,0,0
3,I,blue,head,0,0
3,I,blue,body,0,0
3,I,green,head,0,900
3,I,green,body,0,0
3,I,orange,head,0,925
3,I,orange,body,0,7475
3,I,purple,head,0,1000
3,I,purple,body,0,0
3,I,red,head,0,1175
3,I,red,body,0,0
3,I,yellow,head,0,800
3,I,yellow,body,0,0
3,II,blue,head,975,350
3,II,blue,body,0,0
3,II,green,head,0,1625
3,II,green,body,0,22225
3,II,orange,head,2575,500
3,II,orange,body,0,0
3,II,purple,head,14800,0
3,II,purple,body,18550,0
3,II,red,head,16575,4800
3,II,red,body,0,0
3,II,yellow,head,0,0
3,II,yellow,body,0,0
3,III,blue,head,5775,0
3,III,blue,body,19950,0
3,III,green,head,9075,4225
3,III,green,body,0,0
3,III,orange,head,725,0
3,III,orange,body,0,0
3,III,purple,head,175,0
3,III,purple,body,0,0
3,III,red,head,2300,1875
3,III,red,body,0,0
3,III,yellow,head,0,2575
3,III,yellow,body,0,24950
3,IV,blue,head,9125,2950
3,IV,blue,body,0,0
3,IV,green,head,1075,225
3,IV,green,body,550,0
3,IV,orange,head,0,1125
3,IV,orange,body,0,9400
3,IV,purple,head,375,225
3,IV,purple,body,0,0
3,IV,red,head,1775,0
3,IV,red,body,70750,0
3,IV,yellow,head,0,575
3,IV,yellow,body,0,0
3,V,blue,head,0,0
3,V,blue,body,0,0
3,V,green,head,0,0
3,V,green,body,0,0
3,V,orange,head,0,0
3,V,orange,body,0,0
3,V,purple,head,0,0
3,V,purple,body,0,0
3,V,red,head,0,0
3,V,red,body,0,0
3,V,yellow,head,0,0
3,V,yellow,body,0,0
3,VI,blue,head,3250,0
3,VI,blue,body,0,0
3,VI,green,head,250,0
3,VI,green,body,0,0
3,VI,orange,head,625,0
3,VI,orange,body,0,0
3,VI,purple,head,0,0
3,VI,purple,body,0,0
3,VI,red,head,5875,0
3,VI,red,body,14500,0
3,VI,yellow,head,375,0
3,VI,yellow,body,0,0
4,I,blue,head,0,0
4,I,blue,body,0,0
4,I,green,head,0,0
4,I,green,body,0,0
4,I,orange,head,0,1800
4,I,orange,body,0,8425
4,I,purple,head,0,16825
4,I,purple,body,0,0
4,I,red,head,0,0
4,I,red,body,0,0
4,I,yellow,head,0,225
4,I,yellow,body,0,0
4,II,blue,head,0,0
4,II,blue,body,0,0
4,II,green,head,1550,0
4,II,green,body,0,0
4,II,orange,head,2100,0
4,II,orange,body,10025,0
4,II,purple,head,400,0
4,II,purple,body,0,0
4,II,red,head,500,4000
4,II,red,body,0,0
4,II,yellow,head,175,8000
4,II,yellow,body,0,27500
4,III,blue,head,425,0
4,III,blue,body,8050,0
4,III,green,head,0,0
4,III,green,body,1675,8125
4,III,orange,head,0,0
4,III,orange,body,0,0
4,III,purple,head,0,0
4,III,purple,body,0,0
4,III,red,head,0,0
4,III,red,body,225,0
4,III,yellow,head,0,350
4,III,yellow,body,0,0
4,IV,blue,head,0,0
4,IV,blue,body,0,0
4,IV,green,head,0,900
4,IV,green,body,0,0
4,IV,orange,head,0,0
4,IV,orange,body,0,0
4,IV,purple,head,0,1750
4,IV,purple,body,0,0
4,IV,red,head,0,1875
4,IV,red,body,0,0
4,IV,yellow,head,0,7875
4,IV,yellow,body,0,7300
4,V,blue,head,0,0
4,V,blue,body,0,0
4,V,green,head,0,0
4,V,green,body,0,0
4,V,orange,head,0,0
4,V,orange,body,0,0
4,V,purple,head,0,0
4,V,purple,body,0,0
4,V,red,head,0,0
4,V,red,body,0,0
4,V,yellow,head,0,0
4,V,yellow,body,0,0
4,VI,blue,head,0,4950
4,VI,blue,body,0,14925
4,VI,green,head,625,5525
4,VI,green,body,0,0
4,VI,orange,head,0,0
4,VI,orange,body,0,0
4,VI,purple,head,6850,0
4,VI,purple,body,50000,0
4,VI,red,head,0,0
4,VI,red,body,0,0
4,VI,yellow,head,575,675
4,VI,yellow,body,0,0
5,I,blue,head,0,0
5,I,blue,body,0,0
5,I,green,head,850,950
5,I,green,body,0,0
5,I,orange,head,1025,1025
5,I,orange,body,0,0
5,I,purple,head,4200,8025
5,I,purple,body,0,16900
5,I,red,head,200,0
5,I,red,body,2975,1425
5,I,yellow,head,11275,0
5,I,yellow,body,40500,0
5,II,blue,head,0,6725
5,II,blue,body,0,13700
5,II,green,head,0,0
5,II,green,body,200,0
5,II,orange,head,3450,8150
5,II,orange,body,0,0
5,II,purple,head,700,375
5,II,purple,body,0,0
5,II,red,head,450,0
5,II,red,body,4600,225
5,II,yellow,head,2700,3375
5,II,yellow,body,0,0
5,III,blue,head,4700,300
5,III,blue,body,4050,0
5,III,green,head,0,5100
5,III,green,body,0,18250
5,III,orange,head,2425,1150
5,III,orange,body,0,0
5,III,purple,head,3150,6025
5,III,purple,body,0,0
5,III,red,head,225,350
5,III,red,body,0,0
5,III,yellow,head,10500,1600
5,III,yellow,body,0,0
5,IV,blue,head,12300,0
5,IV,blue,body,0,0
5,IV,green,head,250,0
5,IV,green,body,0,0
5,IV,orange,head,2700,0
5,IV,orange,body,0,0
5,IV,purple,head,825,0
5,IV,purple,body,250,0
5,IV,red,head,17500,0
5,IV,red,body,11350,0
5,IV,yellow,head,2700,0
5,IV,yellow,body,0,0
5,V,blue,head,0,0
5,V,blue,body,0,0
5,V,green,head,0,0
5,V,green,body,0,0
5,V,orange,head,0,0
5,V,orange,body,0,0
5,V,purple,head,0,0
5,V,purple,body,0,0
5,V,red,head,0,0
5,V,red,body,0,0
5,V,yellow,head,0,0
5,V,yellow,body,0,0
5,VI,blue,head,1625,0
5,VI,blue,body,50250,0
5,VI,green,head,7925,0
5,VI,green,body,0,0
5,VI,orange,head,1275,0
5,VI,orange,body,0,0
5,VI,purple,head,0,0
5,VI,purple,body,0,0
5,VI,red,head,0,0
5,VI,red,body,0,0
5,VI,yellow,head,2400,0
5,VI,yellow,body,0,0
6,I,blue,head,0,0
6,I,blue,body,0,0
6,I,green,head,0,0
6,I,green,body,0,0
6,I,orange,head,0,0
6,I,orange,body,0,0
6,I,purple,head,0,0
6,I,purple,body,0,0
6,I,red,head,0,0
6,I,red,body,0,0
6,I,yellow,head,0,0
6,I,yellow,body,0,0
6,II,blue,head,1950,750
6,II,blue,body,0,0
6,II,green,head,625,0
6,II,green,body,12375,0
6,II,orange,head,8350,4725
6,II,orange,body,0,0
6,II,purple,head,0,16225
6,II,purple,body,0,37875
6,II,red,head,0,0
6,II,red,body,0,0
6,II,yellow,head,0,0
6,II,yellow,body,0,0
6,III,blue,head,14100,675
6,III,blue,body,18175,0
6,III,green,head,1475,2350
6,III,green,body,0,0
6,III,orange,head,1575,4450
6,III,orange,body,0,0
6,III,purple,head,2475,325
6,III,purple,body,0,0
6,III,red,head,0,375
6,III,red,body,0,0
6,III,yellow,head,0,14350
6,III,yellow,body,0,41250
6,V,blue,head,1525,0
6,V,blue,body,0,0
6,V,green,head,0,0
6,V,green,body,0,0
6,V,orange,head,7300,0
6,V,orange,body,45500,0
6,V,purple,head,6500,0
6,V,purple,body,0,0
6,V,red,head,12350,0
6,V,red,body,0,0
6,V,yellow,head,20900,0
6,V,yellow,body,0,0
7,I,blue,head,0,0
7,I,blue,body,0,0
7,I,green,head,5050,0
7,I,green,body,0,0
7,I,orange,head,14000,0
7,I,orange,body,32000,0
7,I,purple,head,0,0
7,I,purple,body,0,0
7,I,red,head,0,0
7,I,red,body,0,0
7,I,yellow,head,0,0
7,I,yellow,body,0,0
7,II,blue,head,0,0
7,II,blue,body,0,0
7,II,green,head,0,0
7,II,green,body,0,0
7,II,orange,head,0,0
7,II,orange,body,0,0
7,II,purple,head,0,0
7,II,purple,body,0,0
7,II,red,head,0,0
7,II,red,body,0,0
7,II,yellow,head,5125,0
7,II,yellow,body,99500,0
7,III,blue,head,0,0
7,III,blue,body,0,0
7,III,green,head,3125,0
7,III,green,body,59000,0
7,III,orange,head,900,1675
7,III,orange,body,0,0
7,III,purple,head,0,0
7,III,purple,body,0,0
7,III,red,head,0,0
7,III,red,body,0,0
7,III,yellow,head,0,3250
7,III,yellow,body,325,63750
7,IV,blue,head,0,3500
7,IV,blue,body,0,20000
7,IV,green,head,500,18000
7,IV,green,body,0,0
7,IV,orange,head,0,0
7,IV,orange,body,0,0
7,IV,purple,head,7750,0
7,IV,purple,body,13250,0
7,IV,red,head,925,0
7,IV,red,body,175,0
7,IV,yellow,head,0,0
7,IV,yellow,body,0,0
7,V,blue,head,0,0
7,V,blue,body,0,0
7,V,green,head,0,0
7,V,green,body,0,0
7,V,orange,head,0,0
7,V,orange,body,0,0
7,V,purple,head,0,0
7,V,purple,body,0,0
7,V,red,head,0,0
7,V,red,body,0,0
7,V,yellow,head,0,0
7,V,yellow,body,0,0
7,VI,blue,head,0,16250
7,VI,blue,body,175,28750
7,VI,green,head,2425,375
7,VI,green,body,18750,0
7,VI,orange,head,4250,5050
7,VI,orange,body,0,0
7,VI,purple,head,3650,1875
7,VI,purple,body,0,0
7,VI,red,head,6000,21500
7,VI,red,body,0,225
7,VI,yellow,head,1075,475
7,VI,yellow,body,400,850
8,I,blue,head,0,0
8,I,blue,body,0,0
8,I,green,head,0,0
8,I,green,body,0,0
8,I,orange,head,0,0
8,I,orange,body,0,0
8,I,purple,head,0,0
8,I,purple,body,0,0
8,I,red,head,0,0
8,I,red,body,0,0
8,I,yellow,head,0,0
8,I,yellow,body,0,0
8,II,blue,head,0,0
8,II,blue,body,0,0
8,II,green,head,0,250
8,II,green,body,0,0
8,II,orange,head,6475,1575
8,II,orange,body,0,0
8,II,purple,head,225,900
8,II,purple,body,0,225
8,II,red,head,2900,11750
8,II,red,body,0,2325
8,II,yellow,head,12175,2725
8,II,yellow,body,12950,275
8,III,blue,head,600,1425
8,III,blue,body,0,0
8,III,green,head,0,575
8,III,green,body,0,0
8,III,orange,head,775,300
8,III,orange,body,0,0
8,III,purple,head,9000,0
8,III,purple,body,7725,0
8,III,red,head,0,425
8,III,red,body,0,7375
8,III,yellow,head,5100,425
8,III,yellow,body,0,0
8,IV,blue,head,0,5075
8,IV,blue,body,0,0
8,IV,green,head,0,0
8,IV,green,body,0,0
8,IV,orange,head,0,775
8,IV,orange,body,0,50000
8,IV,purple,head,0,2225
8,IV,purple,body,0,0
8,IV,red,head,0,1475
8,IV,red,body,0,0
8,IV,yellow,head,0,0
8,IV,yellow,body,0,0
8,V,blue,head,975,600
8,V,blue,body,0,0
8,V,green,head,3125,2900
8,V,green,body,0,0
8,V,orange,head,0,3025
8,V,orange,body,200,60750
8,V,purple,head,475,350
8,V,purple,body,0,350
8,V,red,head,7500,450
8,V,red,body,8650,0
8,V,yellow,head,11050,4800
8,V,yellow,body,0,0
8,VI,blue,head,725,0
8,VI,blue,body,0,0
8,VI,green,head,2800,0
8,VI,green,body,6800,0
8,VI,orange,head,0,0
8,VI,orange,body,0,0
8,VI,purple,head,0,0
8,VI,purple,body,0,0
8,VI,red,head,2925,0
8,VI,red,body,0,0
8,VI,yellow,head,6850,0
8,VI,yellow,body,0,0
9,I,blue,head,0,0
9,I,blue,body,0,0
9,I,green,head,0,1625
9,I,green,body,0,0
9,I,orange,head,0,30200
9,I,orange,body,0,0
9,I,purple,head,0,34325
9,I,purple,body,0,17725
9,I,red,head,0,0
9,I,red,body,0,0
9,I,yellow,head,0,0
9,I,yellow,body,0,0
9,II,blue,head,0,17525
9,II,blue,body,0,0
9,II,green,head,450,0
9,II,green,body,0,0
9,II,orange,head,0,19900
9,II,orange,body,0,39075
9,II,purple,head,675,0
9,II,purple,body,0,0
9,II,red,head,1525,0
9,II,red,body,11350,0
9,II,yellow,head,0,0
9,II,yellow,body,0,0
9,III,blue,head,6150,3425
9,III,blue,body,0,0
9,III,green,head,1600,0
9,III,green,body,11450,0
9,III,orange,head,4750,2600
9,III,orange,body,0,0
9,III,purple,head,0,8500
9,III,purple,body,0,0
9,III,red,head,0,4225
9,III,red,body,0,18525
9,III,yellow,head,250,425
9,III,yellow,body,0,0
9,IV,blue,head,0,0
9,IV,blue,body,0,0
9,IV,green,head,4050,0
9,IV,green,body,0,0
9,IV,orange,head,7050,0
9,IV,orange,body,0,0
9,IV,purple,head,13825,0
9,IV,purple,body,40000,0
9,IV,red,head,7250,5775
9,IV,red,body,0,0
9,IV,yellow,head,0,7325
9,IV,yellow,body,0,51325
9,V,blue,head,0,450
9,V,blue,body,0,0
9,V,green,head,0,17375
9,V,green,body,0,0
9,V,orange,head,0,5350
9,V,orange,body,0,0
